更新时间,#genre#
20241130-12-59-01,url


blacklist,#genre#
1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
4K_修复「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
5首伤感情歌DJ,https://vdse.bdstatic.com//a34f76474b9bdfca8c487761861fb603.mp4
8K测试「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
AMC电影,http://tw.ts138.top/4g/?id=4gtv-4gtv017
AMC电影,https://4gtv.mytvsuper.xyz/4gtv.php?id=4gtv-4gtv017
AMC电影,mitv://generationnexxxt.com:19806/24ce0147e36a438eab843a3168cea3bc
AMC电影,mitv://generationnexxxt.com:19806/3dc5467282034921b7124f4be60f4782
BBC Earth,mitv://generationnexxxt.com:19806/49261fefe28441bea7b775cc44fa16b5
BBC Lifestyle,mitv://generationnexxxt.com:19806/178e533979bb4ec3af9190ca475f23ef
BBC World News,mitv://generationnexxxt.com:19806/ecc7214268ee448ab42b65d9f2e2663a
BBC,http://good.ip/mqlive.m3u8?ip=cp.catvbj.top:55600&id=live1003
CCTV FR 法语,p3p://167.114.175.6:55331/60e64818000c636a726f48b644bf347c
CCTV 世界地理,http://117.161.133.51:81/gitv_live/G_SHIJIEDL-CQ/G_SHIJIEDL-CQ.m3u8?p=GITV
CCTV 兵器科技,http://117.161.133.51:81/gitv_live/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ.m3u8?p=GITV
CCTV 央视台球,http://117.161.133.51:81/gitv_live/G_TAIQIU-CQ/G_TAIQIU-CQ.m3u8?p=GITV
CCTV 央视精品,http://117.161.133.51:81/gitv_live/G_CCTV-WENHUA-CQ/G_CCTV-WENHUA-CQ.m3u8?p=GITV
CCTV 女性时尚,http://117.161.133.51:81/gitv_live/G_NVXINGSS-CQ/G_NVXINGSS-CQ.m3u8?p=GITV
CCTV 第一剧场,http://117.161.133.51:81/gitv_live/G_DIYIJC-CQ/G_DIYIJC-CQ.m3u8?p=GITV
CCTV 风云剧场,http://117.161.133.51:81/gitv_live/G_FENGYUNJC-CQ/G_FENGYUNJC-CQ.m3u8?p=GITV
CCTV 风云足球,http://117.161.133.51:81/gitv_live/G_FENGSHANGZQ-CQ/G_FENGSHANGZQ-CQ.m3u8?p=GITV
CCTV 风云音乐,http://117.161.133.51:81/gitv_live/G_FENGYUNYY-CQ/G_FENGYUNYY-CQ.m3u8?p=GITV
CCTV 高尔夫网球,http://117.161.133.51:81/gitv_live/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ.m3u8?p=GITV
CCTV-4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV-中视购物,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000078
CCTV1,http://1.203.77.72:7788/udp/225.1.8.101:8080
CCTV1,http://1.203.77.72:7788/udp/225.1.8.1:8008
CCTV1,http://101.43.66.162/migunew.php?id=cctv1
CCTV1,http://110.185.240.152:55555/udp/239.93.0.184:5140
CCTV1,http://111.193.236.110:8888/rtp/239.3.1.129:8008
CCTV1,http://111.193.236.110:8888/udp/239.3.1.129:8008
CCTV1,http://111.196.75.15:8888/udp/239.3.1.129:8008
CCTV1,http://111.199.5.96:8686/udp/239.3.1.129:8008
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3
CCTV1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no
CCTV1,http://111.8.242.126:9902/tsfile/live/1063_1.m3u8
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1,http://113.102.162.171:4022/udp/239.77.0.129:5146
CCTV1,http://113.120.46.204:8123/udp/239.21.1.120:5002
CCTV1,http://113.120.46.204:8123/udp/239.21.1.1:5002
CCTV1,http://113.140.86.162:8009/hls/501/index.m3u8
CCTV1,http://113.15.185.31:8181/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://113.90.245.163:4000/udp/239.77.0.129:5146
CCTV1,http://113.90.245.163:4000/udp/239.77.1.17:5146
CCTV1,http://114.254.37.1:18888/udp/239.3.1.129:8008
CCTV1,http://115.48.60.114:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.60.12:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.60.210:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.60.49:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.102:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.116:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.183:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.207:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.241:9901/tsfile/live/0001_1.m3u8
CCTV1,http://117.72.68.25:9930/migu.php?id=cctv1
CCTV1,http://118.250.37.72:8888/udp/239.76.253.151:9000
CCTV1,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV1,http://121.24.98.226:8090/hls/9/index.m3u8
CCTV1,http://122.9.151.210:2669/rtp/238.255.2.91:5999
CCTV1,http://123.118.54.242:8686/udp/239.3.1.129:8008
CCTV1,http://123.118.59.153:8686/udp/239.3.1.129:8008
CCTV1,http://123.122.162.250:19999/rtp/239.3.1.129:8008
CCTV1,http://123.122.162.250:19999/rtp/239.3.1.1:8000
CCTV1,http://124.231.213.16:9999/tsfile/live/0001_1.m3u8
