更新时间,#genre#
20240708-17-49-53,url


RespoTime,whitelist,#genre#
23.00ms,新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
25.94ms,歌MV48,http://vd4.bdstatic.com/mda-ji3nh9t9qpewj26m/sc/mda-ji3nh9t9qpewj26m.mp4
27.84ms,亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
31.93ms,新加坡CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
33.39ms,2006年中央电视台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyNzlfMF8z_b_Bbc3703fc331dc994c50859c19aad28ff.mp4
34.99ms,归心似箭,https://vd2.bdstatic.com/mda-madsxchwatcbey51/v1-cae/sc/mda-madsxchwatcbey51.mp4
35.27ms,泉水叮咚响,https://vd4.bdstatic.com/mda-nhp5i19mfnfgcszt/sc/cae_h264/1661317041237423922/mda-nhp5i19mfnfgcszt.mp4
35.47ms,郑亦辰《消遣》DJ版,https://vd4.bdstatic.com/mda-mapavg9qcn4t5hm6/v2-hknm/1080p/mda-mapavg9qcn4t5hm6.mp4
35.97ms,驼铃,https://vd3.bdstatic.com/mda-mchq89ac3391xayj/720p/h264_cae/1620925227029359387/mda-mchq89ac3391xayj.mp4
37.42ms,1995年中央电视台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
37.62ms,DJ《等爱》,https://vd2.bdstatic.com/mda-mfhh1e0hwq212rrt/sc/h264/1623988905898256147/mda-mfhh1e0hwq212rrt.mp4#
39.64ms,韩可可《错位时空》DJ版,https://vd3.bdstatic.com/mda-mgciytzb45z6z8yj/1080p/cae_h264/1626183756603775947/mda-mgciytzb45z6z8yj.mp4#
40.00ms,送别,https://vd4.bdstatic.com/mda-kkpng5smwvp3cucb/v2-hknm/sc/mda-kkpng5smwvp3cucb.mp4
40.01ms,歌MV38,http://vd4.bdstatic.com/mda-jepbbqntd414qsem/sc/mda-jepbbqntd414qsem.mp4
40.60ms,DJ《我们不再是从前》,https://vd2.bdstatic.com/mda-mhne550wq5m66zvj/1080p/cae_h264/1629803514331462220/mda-mhne550wq5m66zvj.mp4#
41.55ms,一首伤感歌曲,https://vd3.bdstatic.com/mda-nbr5d212a9mkb4vp/cae_h264_delogo/1645848373794241498/mda-nbr5d212a9mkb4vp.mp4
41.70ms,《无味》 DJ版,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4#
43.43ms,春晚10,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664862006975841_hlshd15.m3u8
45.08ms,背叛情歌,https://vd2.bdstatic.com/mda-nd9g7g9pdc9d06hz/sc/cae_h264_delogo/1649669454990045825/mda-nd9g7g9pdc9d06hz.mp4
46.00ms,春晚86,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
48.17ms,日テレNEWS24,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
50.88ms,荷东dj,https://vd4.bdstatic.com/mda-kc2b015ijvbriss5/v1-cae/sc/mda-kc2b015ijvbriss5.mp4
52.26ms,春晚21,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700831151909807_hlshd15.m3u8
52.33ms,DJ版《三月里的小雨》,https://vd2.bdstatic.com/mda-mgwegh0bzv4cy6cb/1080p/cae_h264/1627727251470197083/mda-mgwegh0bzv4cy6cb.mp4
54.23ms,推荐9首DJ舞曲,https://vd2.bdstatic.com/mda-mhig1c3sw223mx8p/1080p/cae_h264/1629380139191731149/mda-mhig1c3sw223mx8p.mp4
54.43ms,孙艺琪《寂寞的人别听伤感情歌》,https://vd2.bdstatic.com/mda-mdscsws7443npwa8/1080p/cae_h264/1619516504/mda-mdscsws7443npwa8.mp4
57.14ms,《无味》 DJ版,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4
57.17ms,DJ 流浪兄弟,https://vd2.bdstatic.com/mda-mhrdtax1km0idkc5/1080p/cae_h264/1629972852606533219/mda-mhrdtax1km0idkc5.mp4#
59.15ms,人说山西好风光,https://vd3.bdstatic.com/mda-mc3n63tfyp4fpj3i/v2-hknm/sc/mda-mc3n63tfyp4fpj3i.mp4
60.79ms,春晚15,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
61.35ms,春晚91,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
62.03ms,新中国,https://vd4.bdstatic.com/mda-mhg67kdwtpf3cmh2/sc/cae_h264/1629175568665923880/mda-mhg67kdwtpf3cmh2.mp4
62.18ms,《人间惊鸿客》,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4#
62.34ms,DJ情歌8首,https://vd2.bdstatic.com/mda-mk7hhug7aprk2806/sc/cae_h264/1636496746808750167/mda-mk7hhug7aprk2806.mp4
62.49ms,精选五首DJ男声串烧,https://vd2.bdstatic.com/mda-maqfk730tsig88wr/v2-hknm/1080p/mda-maqfk730tsig88wr.mp4#
64.04ms,一首《爱一回错一回》DJ版,https://vd4.bdstatic.com/mda-mbim69siwwsgwp7d/v1-cae/1080p/mda-mbim69siwwsgwp7d.mp4
66.58ms,当兵的人,https://vd2.bdstatic.com/mda-kjbb0xzvqi8ew4u7/sc/mda-kjbb0xzvqi8ew4u7.mp4
66.86ms,DJ 流浪兄弟,https://vd2.bdstatic.com/mda-mhrdtax1km0idkc5/1080p/cae_h264/1629972852606533219/mda-mhrdtax1km0idkc5.mp4
67.95ms,半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
71.30ms,DJ情歌《爱情迷了路》,https://vd4.bdstatic.com/mda-mdbrb7fns70avrmt/1080p/cae_h264/1618222287/mda-mdbrb7fns70avrmt.mp4
76.03ms,边疆的泉水清又纯,https://vd2.bdstatic.com/mda-mmbesjsvurqym92e/sc/cae_h264_delogo/1642484372769778974/mda-mmbesjsvurqym92e.mp4
81.71ms,亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
83.63ms,人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
86.50ms,西藏卫视,http://116.233.6.23:5022/udp/239.45.1.231:5140
87.57ms,番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
88.12ms,《潇洒的走DJ》动感节奏,https://vd4.bdstatic.com/mda-kgirfiwxg342z9d8/v1-cae/sc/mda-kgirfiwxg342z9d8.mp4
91.23ms,DJ爆红老歌10首车载,https://vd3.bdstatic.com/mda-nbhgwre9iykh09ya/sc/cae_h264_delogo/1645187028367793873/mda-nbhgwre9iykh09ya.mp4
92.84ms,动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
93.28ms,纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
94.75ms,八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
95.07ms,CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
96.01ms,动物星球,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
97.99ms,4K_修复「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
98.10ms,DJ版《时间会知道你好不好》,https://vd3.bdstatic.com/mda-mhairve7gvye1192/1080p/cae_h264/1629457148988604256/mda-mhairve7gvye1192.mp4
98.72ms,TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
99.07ms,2022年中央广播电视总台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
99.35ms,CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
99.79ms,东方卫视,http://[2409:8087:2001:20:2800:0:df6e:eb21]/ott.mobaibox.com/PLTV/3/224/3221228425/index.m3u8
99.80ms,CCTV5-4K,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
101.15ms,东方卫视,http://[2409:8087:2001:20:2800:0:df6e:eb21]/ott.mobaibox.com/PLTV/3/224/3221228425/index.m3u8
101.97ms,浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
103.89ms,少年壮志不言愁,https://vd2.bdstatic.com/mda-mmt4gmqeznpd0uu9/sc/cae_h264_delogo/1643235838750590202/mda-mmt4gmqeznpd0uu9.mp4
104.42ms,凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
106.23ms,DJ车载音乐,https://vd3.bdstatic.com/mda-mjtm31vvhj027na9/720p/h264/1635433115826085505/mda-mjtm31vvhj027na9.mp4
106.55ms,DJ版《原谅你的谎》,https://vd4.bdstatic.com/mda-mhacxx5vhr2we882/1080p/cae_h264/1628673933350116053/mda-mhacxx5vhr2we882.mp4#
106.92ms,中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
107.12ms,车载DJ《多年以后》,https://vd3.bdstatic.com/mda-mhqekuegbh6112js/1080p/cae_h264/1629891559415737083/mda-mhqekuegbh6112js.mp4
107.59ms,CCTV5(4K),http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
108.16ms,CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
108.83ms,八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
109.18ms,DJ 最美不过你的微笑,https://vd4.bdstatic.com/mda-mhs2qjdmkjz2rb7g/sc/cae_h264/1630029534870787600/mda-mhs2qjdmkjz2rb7g.mp4
109.43ms,CCTV6(4K),http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
110.50ms,小鸟小鸟,https://vd2.bdstatic.com/mda-nf0g4wpn1h6d6gzc/sc/cae_h264/1654097751881430749/mda-nf0g4wpn1h6d6gzc.mp4
111.68ms,浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
112.03ms,航拍中国第三季,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/18a8a559464448dbaf60d33913e09aea/1200.m3u8
112.66ms,车载DJ《多年以后》,https://vd3.bdstatic.com/mda-mhqekuegbh6112js/1080p/cae_h264/1629891559415737083/mda-mhqekuegbh6112js.mp4#
113.03ms,CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228516/index.m3u8
114.72ms,DJ《心在跳情在烧》,https://vd4.bdstatic.com/mda-mhwf07t27w3gi1y7/1080p/cae_h264/1630406994590156367/mda-mhwf07t27w3gi1y7.mp4#
115.26ms,东方卫视,http://223.112.219.174:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
115.36ms,十五的月亮,https://vd4.bdstatic.com/mda-mipa0k9x8fczuqsi/sc/cae_h264/1632467395111368550/mda-mipa0k9x8fczuqsi.mp4
116.60ms,岳西综合频道,http://112.30.194.221:20080/live/b62955a9283f4c2ea8ccb96e8ac468bc/hls.m3u8
117.32ms,DJ情歌5首,https://vd3.bdstatic.com/mda-mmg7iqkrutbwd7az/sc/cae_h264/1639851941696222972/mda-mmg7iqkrutbwd7az.mp4
118.38ms,探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
119.42ms,安徽经济生活频道,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
120.02ms,CCTV2,http://223.112.219.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
120.81ms,凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
120.92ms,CCTV3(4K),http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
121.45ms,CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
121.58ms,深圳龙岗频道高清,http://ddns.cyruslee.top:8888/udp/239.77.1.223:5146
121.76ms,1996年中央电视台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
122.63ms,深圳卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.1.148:5146
122.76ms,深圳公共频道高清,http://ddns.cyruslee.top:8888/udp/239.77.1.178:5146
122.90ms,CCTV3,http://123.112.208.22:4022/rtp/239.3.1.172:8001
123.41ms,广东卫视,http://116.21.121.116:4433/tsfile/live/0125_1.m3u8
124.29ms,清远新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.33:5146
124.58ms,广东体育高清测试,http://ddns.cyruslee.top:8888/udp/239.77.0.112:5146
124.78ms,佛山综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.57:5146
125.09ms,南国都市 4K,http://ddns.cyruslee.top:8888/udp/239.253.43.99:5146
125.34ms,韶关新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.117:5146
125.35ms,CCTV13,http://114.246.195.194:4023/rtp/239.3.1.124:8128
125.35ms,揭阳综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.229:5146
125.50ms,浙江卫视,http://116.21.121.116:4433/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
125.53ms,徐闻综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.112:5146
125.58ms,深圳财经生活高清,http://ddns.cyruslee.top:8888/udp/239.77.1.242:5146
126.16ms,凤凰卫视资讯台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
126.16ms,人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
126.34ms,佛山公共高清,http://ddns.cyruslee.top:8888/udp/239.253.43.53:5146
126.41ms,深圳都市频道高清,http://ddns.cyruslee.top:8888/udp/239.77.1.124:5146
126.42ms,广东影视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.217:5146
126.76ms,肇庆综合高清,http://ddns.cyruslee.top:8888/udp/239.253.43.1:5146
126.79ms,CCTV12,http://114.246.195.194:4023/rtp/239.3.1.64:8124
127.10ms,TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
127.57ms,深圳宝安频道高清,http://ddns.cyruslee.top:8888/udp/239.77.1.67:5146
127.75ms,江苏卫视,http://116.21.121.116:4433/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
127.93ms,番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
128.10ms,广州影视高清,http://ddns.cyruslee.top:8888/udp/239.253.43.73:5146
128.14ms,三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
128.20ms,湛江新闻综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.141:5146
128.67ms,江苏卫视,http://117.27.190.42:9998/tsfile/live/23264_1.m3u8?key=txiptv&playlive=1&authid=0
128.70ms,CCTV5,http://222.137.229.154:808/hls/5/index.m3u8
128.73ms,深圳体育健康高清,http://ddns.cyruslee.top:8888/udp/239.77.1.128:5146
128.80ms,HZTV-1高清,http://ddns.cyruslee.top:8888/udp/239.77.1.232:5146
128.88ms,珠海-2高清,http://ddns.cyruslee.top:8888/udp/239.77.0.154:5146
129.07ms,CCTV1,http://123.112.208.22:4022/rtp/239.3.1.129:8008
129.40ms,深圳卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.92:5146
129.45ms,大湾区卫视高清,http://ddns.cyruslee.top:8888/udp/239.77.0.215:5146
129.49ms,经济科教超清,http://ddns.cyruslee.top:8888/udp/239.77.0.167:5146
129.60ms,云浮文旅高清,http://ddns.cyruslee.top:8888/udp/239.77.0.254:5146
129.68ms,CCTV10,http://123.112.208.22:4022/rtp/239.3.1.63:8116
129.70ms,1999年中央电视台春节联欢晚会,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
129.74ms,深圳宜和购物高清,http://ddns.cyruslee.top:8888/udp/239.77.1.87:5146
129.81ms,广东体育,http://116.21.121.116:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
129.93ms,滁州科教频道,http://live.cztv.cc:85/live/sjpd.m3u8
130.06ms,云浮综合高清,http://ddns.cyruslee.top:8888/udp/239.77.0.253:5146
130.13ms,凤凰卫视台,http://113.64.147.55:8081/hls/37/index.m3u8
130.54ms,CCTV12,http://113.218.229.25:8081/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
130.93ms,CCTV5,http://223.159.9.39:8099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
130.99ms,深圳卫视,http://14.212.185.27:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
