🎬测试1,#genre#

🎬軍G∈◎影視,#genre#
Now星影台,http://111.160.76.101:80/香蕉哥/now星影.live.flv
Now爆谷台,http://111.160.76.101:80/香蕉哥/now爆谷.live.flv
CHC影迷电影,mitv://generationnexxxt.com:19806/bc7bf77f1cb5401389500427f060caa1
CHC动作电影,mitv://generationnexxxt.com:19806/ab40a3bbbef244a1b4c8c0f841f0561f
CHC家庭影院,mitv://generationnexxxt.com:19806/53491943aa934355b381bc8684bc4fc2
邵氏影院,http://159.75.85.63:35455/douyu/4246519 
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519 
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
邵氏影院,https://www.goodiptv.club/douyu/4246519
真武侠台,http://cfss.cc/cdn/hy/29169712.m3u8
真武侠台,http://live.dxms.top/dwy/zwx.php
经典武侠台,http://live.dxms.top/dwy/jdgf.php
经典武侠台,http://11.xmyxc.cn/api/php/yy.php?id=1355002394
经典武侠台,http://cfss.cc/cdn/yy/1355002394.flv
星光综合台,http://124.248.69.76:35455/yy/1353422557
星光综合台,http://11.xmyxc.cn/api/php/yy.php?id=1353422557
星光电影台,http://live.dxms.top/dwy/xgzht.php
星光电影台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://117.114.153.1:8180/TV00000000000000000007@HHZT
1905电影(亚洲),http://live.dxms.top/dwy/hyyy.php
1905电影(国际),http://xxw.me0.cn/1905dy.php?id=1905b
1905电影(亚洲),http://xxw.me0.cn/1905dy.php?id=1905a
天映频道,mitv://generationnexxxt.com:19806/65e1b0870000c6d7c9dccba555040378
天映频道,https://histar-proxy.isus.cc/celestial
天映经典,mitv://generationnexxxt.com:19806/3ac31fa9f30145b68f8469b00d91b200
天映经典,https://histar-proxy.isus.cc/cccm
美亚电影国,mitv://generationnexxxt.com:19806/a850e570b868424c94319a2652ca7c62
美亚电影国,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影粤,mitv://generationnexxxt.com:19806/ee16565eb5fe46be8d22cbbde1fa9fae
東森電影,https://bsex.serv00.net/Smart.php?id=ettvmovie
東森电影台,mitv://135.148.104.228:19806/08435f286ac744a0942899c551209779
東森电影台,mitv://generationnexxxt.com:19806/08435f286ac744a0942899c551209779
東森电影台,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
